series_id                     	year	period	value	footnote_codes
ORUC1000002R00001198          	2022	A01	42.9	
ORUC1000002R00001202          	2022	A01	100.0	7
ORUC1000002S00001149          	2022	A01	10.4	
ORUC1000002S00001150          	2022	A01	89.6	7
ORUC1000002S00001156          	2022	A01	27.6	
ORUC1000002S00001157          	2022	A01	67.3	7
ORUC1000002S00001160          	2022	A01	34.2	
ORUC1000002S00001161          	2022	A01	65.8	7
ORUC1000002S00001165          	2022	A01	3.5	
ORUC1000002S00001166          	2022	A01	33.1	
ORUC1000002S00001167          	2022	A01	63.4	7
ORUC1000002S00001171          	2022	A01	37.5	
ORUC1000002S00001172          	2022	A01	9.2	
ORUC1000002S00001173          	2022	A01	53.3	7
ORUC1000002S00001176          	2022	A01	96.6	7
ORUC1000002S00001177          	2022	A01	3.4	
ORUC1000002S00001180          	2022	A01	31.8	
ORUC1000002S00001181          	2022	A01	61.5	7
ORUC1000002S00001182          	2022	A01	6.7	
ORUC1000002S00001187          	2022	A01	100.0	7
ORUC1000002S00001190          	2022	A01	44.0	7
ORUC1000002S00001191          	2022	A01	27.2	
ORUC1000002S00001192          	2022	A01	15.5	
ORUC1000002S00001193          	2022	A01	5.5	
ORUC1000002S00001197          	2022	A01	94.5	7
ORUC1000002S00001198          	2022	A01	5.5	
ORUC1000002S00001201          	2022	A01	0.8	
ORUC1000002S00001202          	2022	A01	99.2	7
ORUC1000002S00001205          	2022	A01	53.8	7
ORUC1000002S00001206          	2022	A01	46.2	
ORUC1000002U00001150          	2022	A01	73.6	7
ORUC1000002U00001156          	2022	A01	18.0	
ORUC1000002U00001157          	2022	A01	81.0	7
ORUC1000002U00001160          	2022	A01	34.8	
ORUC1000002U00001161          	2022	A01	65.2	7
ORUC1000002U00001166          	2022	A01	18.1	
ORUC1000002U00001167          	2022	A01	81.7	7
ORUC1000002U00001181          	2022	A01	58.8	7
ORUC1000002U00001187          	2022	A01	100.0	7
ORUC1000002U00001191          	2022	A01	30.9	
ORUC1000002U00001202          	2022	A01	96.3	7
ORUC1000002U00001205          	2022	A01	59.0	7
ORUC1000002W00001149          	2022	A01	10.1	
ORUC1000002W00001150          	2022	A01	89.9	7
ORUC1000002W00001156          	2022	A01	35.6	
ORUC1000002W00001157          	2022	A01	39.0	7
ORUC1000002W00001160          	2022	A01	45.1	
ORUC1000002W00001161          	2022	A01	54.9	7
ORUC1000002W00001166          	2022	A01	25.2	
ORUC1000002W00001167          	2022	A01	74.8	7
ORUC1000002W00001171          	2022	A01	32.2	
ORUC1000002W00001172          	2022	A01	6.7	
ORUC1000002W00001173          	2022	A01	61.1	7
ORUC1000002W00001180          	2022	A01	27.4	
ORUC1000002W00001181          	2022	A01	62.3	7
ORUC1000002W00001187          	2022	A01	100.0	7
ORUC1000002W00001190          	2022	A01	22.6	
